단어	음(읽는 법)
家族	가족
學校	학교
敎室	교실
校門	교문
國語	국어
國家	국가
國民	국민
韓國	한국
漢字	한자
出國	출국
入國	입국
高校	고교
高級	고급
交通	교통
計算	계산
問答	문답
問題	문제
答案	답안
見學	견학
氣分	기분
氣力	기력
開門	개문
開校	개교
閉門	폐문
間食	간식
空氣	공기
空間	공간
工科	공과
功勞	공로
共用	공용
光明	광명
多數	다수
短文	단문
讀書	독서
動物	동물
冬服	동복
地區	지구
洞里	동리
頭目	두목
登山	등산
登場	등장
落葉	낙엽
音樂	음악
來日	내일
來年	내년
明日	명일
明年	명년
無理	무리
毛衣	모의
民族	민족
放學	방학
放心	방심
方法	방법
番號	번호
別室	별실
步道	보도
部分	부분
分數	분수
社會	사회
事前	사전
死亡	사망
色紙	색지
書店	서점
性格	성격
成功	성공
所在	소재
首都	수도
時間	시간
詩人	시인
市場	시장
神話	신화
身體	신체
信用	신용
新聞	신문
安心	안심
夜間	야간
弱者	약자
語學	어학
言語	언어
英語	영어
有名	유명
有用	유용
肉食	육식
育兒	육아
銀行	은행
意見	의견
作文	작문
長男	장남
工場	공장
道路	도로
電氣	전기
電話	전화
田園	전원
朝食	조식
祖先	조선
晝夜	주야
住民	주민
竹林	죽림
重點	중점
草地	초지
村長	촌장
秋夕	추석
春雨	춘우
親切	친절
太陽	태양
通行	통행
便利	편리
平日	평일
夏季	하계
活動	활동
花園	화원
會話	회화
和合	화합
孝行	효행
後半	후반
春雨	춘우
春風	춘풍
立春	입춘
夏季	하계
夏日	하일
秋夕	추석
秋風	추풍
秋日	추일
冬服	동복
冬日	동일
春日	춘일
